Event,Observatory,ARMS
X1HERP_20180928_20190128,Crete,1HERP
X1HERP_20190612_20191011,Crete,1HERP
X1HERP_20190612_20200210,Crete,1HERP
X1HERP_20190612_20200618,Crete,1HERP
X1HERP_20200903_20210122,Crete,1HERP
X2UBPC_20190924_20201211,Crete,2UBPC
AJJBC89_20210225_20210819,Belgium Coast,AJJBC89
AJJC81_20200506_20201012,Belgium Coast,AJJC81
AJJC86_20200506_20201012,Belgium Coast,AJJC86
AJJCD78_20210225_20210819,Belgium Coast,AJJCD78
AJJCD89_20210225_20210819,Belgium Coast,AJJCD89
Angbat_20180711_20181106,TZS,Angbat
Angbat_20200608_20201117,TZS,Angbat
AZBE1_20190924_20200303,Belgium Coast,AZBE1
AZFPin_20180712_20180818,Belgium Coast,AZFPin
BasBloS1_20180711_20181025,Roscoff,BasBloS1
BasBloS1_20190612_20200527,Roscoff,BasBloS1
BasBloS2_20190612_20200528,Roscoff,BasBloS2
BasBloS3_20190612_20200529,Roscoff,BasBloS3
Bjorko1_20200131_20200518,SWC,Bjorko1
BojaVida_20200611_20210728,Gulf Of Piran,BojaVida
CoastbustersA_20210422_20211008,Belgium Coast,CoastbustersA
Fornace_20180815_20181118,Gulf Of Piran,Fornace
G1_20190624_20191016,Getxo,G1
G1_20200624_20201103,Getxo,G1
G2_20190624_20191016,Getxo,G2
G2_20200624_20201103,Getxo,G2
G3_20190624_20191016,Getxo,G3
G3_20200624_20201103,Getxo,G3
Gbg1_20200206_20200520,SWC,Gbg1
Gbg2_20200206_20200520,SWC,Gbg2
Gbg3_20200206_20200529,SWC,Gbg3
Gbg4_20200206_20200529,SWC,Gbg4
GDY1_20180813_20191029,Gdynia,GDY1
GDY1_20190619_20191029,Gdynia,GDY1
Green33_20190618_20191029,Limfjord,Green33
Green33_20191029_20201110,Limfjord,Green33
Green33_20201110_20211115,Limfjord,Green33
GStraB_20190621_20201207,Bodo,GStraB
GStraM_20190621_20201207,Bodo,GStraM
Gurr1_20200721_20210708,Galway,Gurr1
Gurr2_20200721_20210707,Galway,Gurr2
Gurr3_20200723_20210708,Galway,Gurr3
Helsingborg1_20200305_20200604,SWC,Helsingborg1
Helsingborg2_20200305_20200604,SWC,Helsingborg2
Hjuvik1_20200131_20200518,SWC,Hjuvik1
Katza1_20181024_20200706,Eilat,Katza1
Katza2_20181024_20200803,Eilat,Katza2
Kummelkobben_20200608_20201120,TZS,Kummelkobben
Laeso1_20190819_20200811,Laeso,Laeso1
Laeso2_20190819_20200811,Laeso,Laeso2
LukaKP_20210223_20210622,Gulf Of Piran,LukaKP
LukaKP_20210622_20211027,Gulf Of Piran,LukaKP
MarBloR1_20180709_20181024,Roscoff,MarBloR1
MarBloR1_20190612_20190916,Roscoff,MarBloR1
MarBloR2_20190612_20190917,Roscoff,MarBloR2
MarBloR3_20190612_20190918,Roscoff,MarBloR3
Marstrand1_20200228_20200527,SWC,Marstrand1
Marstrand2_20200228_20200527,SWC,Marstrand2
Marstrand3_20200228_20200527,SWC,Marstrand3
MBA1_20180701_20181001,Plymouth,MBA1
MBA1A_20190716_20190916,Plymouth,MBA1A
MBA1A_20200717_20200921,Plymouth,MBA1A
MBA1B_20190716_20190918,Plymouth,MBA1B
MBA1B_20200717_20200922,Plymouth,MBA1B
MBA1C_20190716_20190920,Plymouth,MBA1C
MBA1C_20200717_20200923,Plymouth,MBA1C
MBA2_20180701_20181001,Plymouth,MBA2
NR1_20181017_20200204,Eilat,NR1
NR2_20181017_20200524,Eilat,NR2
Preemraff1_20200401_20200715,SWC,Preemraff1
Preemraff2_20200401_20200715,SWC,Preemraff2
RavH1_20210422_20210722,RavennaH,RavH1
RavH2_20210422_20210722,RavennaH,RavH2
RavH3_20210422_20210722,RavennaH,RavH3
RavM1_20210422_20210722,RavennaM,RavM1
RavM2_20210422_20210722,RavennaM,RavM2
RavM3_20210422_20210722,RavennaM,RavM3
Red2_20190618_20191029,Limfjord,Red2
Red2_20191029_20201110,Limfjord,Red2
Red2_20201110_20211115,Limfjord,Red2
S1_20180706_20190806,Svalbard,S1
S1_20190806_20200804,Svalbard,S1
S2_20180708_20190805,Svalbard,S2
S2_20190805_20200801,Svalbard,S2
Spikarna_20180711_20181107,TZS,Spikarna
Spikarna_20200608_20201118,TZS,Spikarna
TorallaA_20180607_20180924,Toralla,TorallaA
TorallaA_20190625_20191014,Toralla,TorallaA
TorallaA_20200706_20201006,Toralla,TorallaA
TorallaB_20190625_20191014,Toralla,TorallaB
TorallaB_20200706_20201006,Toralla,TorallaB
TorallaC_20190625_20191014,Toralla,TorallaC
TorallaC_20200706_20201006,Toralla,TorallaC
Varberg1_20200213_20200603,SWC,Varberg1
Varberg2_20200213_20200603,SWC,Varberg2
Varberg3_20200213_20200603,SWC,Varberg3
VH1_20180418_20190527,Koster,VH1
VH1_20190527_20200716,Koster,VH1
VH1_20200716_20210608,Koster,VH1
VH2_20180418_20180906,Koster,VH2
VH2_20190527_20200716,Koster,VH2
VH2_20200716_20210608,Koster,VH2
VH3_20180418_20190527,Koster,VH3
VH3_20190527_20200716,Koster,VH3
VH3_20200716_20210608,Koster,VH3
Yellow8_20190618_20191029,Limfjord,Yellow8
Yellow8_20201110_20211115,Limfjord,Yellow8
BirkenfelsA_20200617_20210309,Belgium Coast,BirkenfelsA
